Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Purchased Date,Year-Month
California,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Hybrid,2021,8800,2022-10-26,2022-10
Pennsylvania,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Hybrid,2018,7600,2017-08-25,2017-08
North Carolina,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Hybrid,2016,9300,2018-06-13,2018-06
North Carolina,Plato,Prazo,Convertible,Gray,Automatic,2,2,Petrol,2021,8800,2023-05-14,2023-05
Oregon,Dzire,Maruti,Sedan,Red,Automatic,5,5,Electric,2019,8500,2022-08-24,2022-08
Colorado,Fortuner,Toyota,SUV,Red,Automatic,8,5,Electric,2021,9300,2022-06-05,2022-06
New York,Thar,Mahindra,SUV,Gray,Automatic,5,3,Hybrid,2015,9400,2021-09-28,2021-09
Colorado,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Hybrid,2023,7100,2020-09-26,2020-09
Michigan,Yodha,Tata,Truck,Blue,Automatic,3,2,Hybrid,2020,8400,2023-06-01,2023-06
Tennessee,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Petrol,2018,6600,2018-05-24,2018-05
Texas,Etriga,Maruti,Hatchback,Black,Manual,4,5,Electric,2017,8200,2021-03-20,2021-03
New York,i20,Hyundai,Hatchback,Red,Automatic,4,5,Electric,2024,7500,2018-01-22,2018-01
Tennessee,Kags,Renault,SUV,Red,Automatic,7,5,Electric,2017,9700,2015-03-19,2015-03
Oklahoma,Kags,Renault,SUV,Black,Manual,7,5,Petrol,2016,8300,2021-12-06,2021-12
Arizona,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Electric,2021,9300,2022-12-31,2022-12
Illinois,Thar,Mahindra,SUV,Blue,Automatic,5,3,Electric,2023,9100,2021-01-05,2021-01
New York,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Petrol,2021,6300,2024-02-01,2024-02
Pennsylvania,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Diesel,2016,6900,2022-07-15,2022-07
Wisconsin,Kags,Renault,SUV,White,Automatic,7,5,Hybrid,2024,8500,2021-09-22,2021-09
California,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2024,8500,2015-03-07,2015-03
New York,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2020,9400,2019-08-17,2019-08
North Carolina,Seltos,Kia,Hatchback,Gray,Manual,5,5,Electric,2023,7600,2023-03-23,2023-03
Oregon,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Hybrid,2021,8800,2015-09-25,2015-09
Oklahoma,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2016,6900,2016-06-04,2016-06
Arizona,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2018,8200,2019-10-25,2019-10
Ohio,Yodha,Tata,Truck,Red,Automatic,3,2,Electric,2024,8500,2018-02-17,2018-02
Illinois,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2024,7100,2021-10-12,2021-10
Oklahoma,Yodha,Tata,Truck,White,Manual,3,2,Electric,2022,8700,2023-12-13,2023-12
Utah,Scorpio,Mahindra,SUV,Red,Manual,5,5,Diesel,2016,8400,2017-09-16,2017-09
Oklahoma,Hilux,Toyota,Truck,Black,Automatic,4,2,Petrol,2017,7700,2016-03-09,2016-03
Colorado,Seltos,Kia,Hatchback,White,Manual,5,5,Diesel,2018,6700,2018-12-29,2018-12
Tennessee,i20,Hyundai,Hatchback,White,Manual,4,5,Electric,2017,8200,2023-08-04,2023-08
North Carolina,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Diesel,2016,6900,2023-01-02,2023-01
Arizona,Hilux,Toyota,Truck,White,Automatic,4,2,Electric,2019,9000,2016-02-29,2016-02
Ohio,Seltos,Kia,Hatchback,Black,Automatic,5,5,Diesel,2015,7000,2016-05-23,2016-05
California,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2024,7600,2019-06-10,2019-06
California,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Electric,2017,8200,2015-11-04,2015-11
Texas,Yodha,Tata,Truck,White,Manual,3,2,Petrol,2017,7700,2023-10-09,2023-10
Illinois,Dzire,Maruti,Sedan,Black,Manual,5,5,Hybrid,2022,7700,2021-12-02,2021-12
Utah,Etriga,Maruti,Hatchback,White,Manual,4,5,Electric,2019,8000,2020-07-01,2020-07
Colorado,Kags,Renault,SUV,Black,Automatic,7,5,Petrol,2024,7500,2023-03-22,2023-03
Arizona,Yodha,Tata,Truck,Blue,Manual,3,2,Petrol,2018,7600,2015-03-05,2015-03
Illinois,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2024,7100,2015-02-12,2015-02
California,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2017,8200,2023-10-13,2023-10
Pennsylvania,Fortuner,Toyota,SUV,Black,Manual,8,5,Hybrid,2022,8700,2017-08-04,2017-08
Tennessee,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Diesel,2024,7600,2019-06-03,2019-06
Florida,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Petrol,2020,7900,2019-12-07,2019-12
Ohio,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2017,6800,2020-09-25,2020-09
Utah,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Diesel,2024,7600,2021-11-12,2021-11
Colorado,Seltos,Kia,Hatchback,Red,Automatic,5,5,Electric,2020,7900,2019-05-09,2019-05
Pennsylvania,i20,Hyundai,Hatchback,White,Manual,4,5,Petrol,2015,6900,2016-10-30,2016-10
Oregon,Creta,Hyundai,Hatchback,Red,Manual,5,5,Petrol,2022,6200,2022-10-10,2022-10
Michigan,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2015,8500,2019-04-06,2019-04
Tennessee,i20,Hyundai,Hatchback,Gray,Manual,4,5,Electric,2022,7700,2023-12-17,2023-12
Texas,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2018,8100,2024-05-06,2024-05
Tennessee,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2023,9100,2022-04-21,2022-04
Wisconsin,Plato,Prazo,Convertible,Gray,Automatic,2,2,Petrol,2019,9000,2015-08-02,2015-08
Michigan,i20,Hyundai,Hatchback,Gray,Manual,4,5,Diesel,2024,6100,2019-06-18,2019-06
California,Yodha,Tata,Truck,Blue,Manual,3,2,Diesel,2017,7800,2015-08-26,2015-08
