Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Location;Car Name;Manufacturer Name;Car Type;Color;Gearbox;Number of Seats;Number of Doors;Energy;Manufactured Year;Price-$;Purchased Date;Year-Month
California;Fortuner;Toyota;SUV;Gray;Automatic;8;5;Hybrid;2021;8800;2022-10-26;2022-10
Philadelphia;Creta;Hyundai;Hatchback;Blue;Automatic;5;5;Hybrid;2018;7600;2017-08-25;2017-08
North Carolina;Scorpio;Mahindra;SUV;Gray;Automatic;5;5;Hybrid;2016;9300;2018-06-13;2018-06
North Carolina;Plato;Prazo;Convertible;Gray;Automatic;2;2;Petrol;2021;8800;2023-05-14;2023-05
Portland;Dzire;Maruti;Sedan;Red;Automatic;5;5;Electric;2019;8500;2022-08-24;2022-08
Denver;Fortuner;Toyota;SUV;Red;Automatic;8;5;Electric;2021;9300;2022-06-05;2022-06
New York;Thar;Mahindra;SUV;Gray;Automatic;5;3;Hybrid;2015;9400;2021-09-28;2021-09
Denver;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Hybrid;2023;7100;2020-09-26;2020-09
Detroit;Yodha;Tata;Truck;Blue;Automatic;3;2;Hybrid;2020;8400;2023-06-01;2023-06
Tennessee;Creta;Hyundai;Hatchback;Blue;Manual;5;5;Petrol;2018;6600;2018-05-24;2018-05
Texas;Etriga;Maruti;Hatchback;Black;Manual;4;5;Electric;2017;8200;2021-03-20;2021-03
New York;i20;Hyundai;Hatchback;Red;Automatic;4;5;Electric;2024;7500;2018-01-22;2018-01
Tennessee;Kags;Renault;SUV;Red;Automatic;7;5;Electric;2017;9700;2015-03-19;2015-03
Oklahoma;Kags;Renault;SUV;Black;Manual;7;5;Petrol;2016;8300;2021-12-06;2021-12
Tucson;Scorpio;Mahindra;SUV;Red;Automatic;5;5;Electric;2021;9300;2022-12-31;2022-12
Chicago;Thar;Mahindra;SUV;Blue;Automatic;5;3;Electric;2023;9100;2021-01-05;2021-01
New York;Creta;Hyundai;Hatchback;Gray;Automatic;5;5;Petrol;2021;6300;2024-02-01;2024-02
Philadelphia;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Diesel;2016;6900;2022-07-15;2022-07
