Year-Month,Total_Ventas,Predicted
2015-01-01,22.0,
2015-02-01,23.0,
2015-03-01,23.0,
2015-04-01,22.0,
2015-05-01,20.0,
2015-06-01,23.0,
2015-07-01,15.0,
2015-08-01,21.0,
2015-09-01,13.0,
2015-10-01,23.0,
2015-11-01,21.0,
2015-12-01,15.0,
2016-01-01,16.0,
2016-02-01,15.0,
2016-03-01,20.0,
2016-04-01,22.0,
2016-05-01,17.0,
2016-06-01,11.0,
2016-07-01,17.0,
2016-08-01,15.0,
2016-09-01,17.0,
2016-10-01,25.0,
2016-11-01,26.0,
2016-12-01,18.0,
2017-01-01,21.0,
2017-02-01,19.0,
2017-03-01,28.0,
2017-04-01,17.0,
2017-05-01,28.0,
2017-06-01,26.0,
2017-07-01,24.0,
2017-08-01,26.0,
2017-09-01,9.0,
2017-10-01,25.0,
2017-11-01,18.0,
2017-12-01,23.0,
2018-01-01,31.0,
2018-02-01,18.0,
2018-03-01,28.0,
2018-04-01,25.0,
2018-05-01,16.0,
2018-06-01,16.0,
2018-07-01,28.0,
2018-08-01,16.0,
2018-09-01,15.0,
2018-10-01,17.0,
2018-11-01,21.0,
2018-12-01,23.0,
2019-01-01,24.0,
2019-02-01,16.0,
2019-03-01,20.0,
2019-04-01,18.0,
2019-05-01,25.0,
2019-06-01,19.0,
2019-07-01,27.0,
2019-08-01,20.0,
2019-09-01,21.0,
2019-10-01,17.0,
2019-11-01,21.0,
2019-12-01,16.0,
2020-01-01,19.0,
2020-02-01,25.0,
2020-03-01,25.0,
2020-04-01,16.0,
2020-05-01,17.0,
2020-06-01,18.0,
2020-07-01,21.0,
2020-08-01,21.0,
2020-09-01,26.0,
2020-10-01,14.0,
2020-11-01,21.0,
2020-12-01,19.0,
2021-01-01,21.0,
2021-02-01,22.0,
2021-03-01,20.0,
2021-04-01,24.0,
2021-05-01,26.0,
2021-06-01,25.0,
2021-07-01,24.0,
2021-08-01,26.0,
2021-09-01,13.0,
2021-10-01,18.0,
2021-11-01,19.0,
2021-12-01,24.0,
2022-01-01,22.0,
2022-02-01,25.0,
2022-03-01,17.0,
2022-04-01,21.0,
2022-05-01,9.0,
2022-06-01,19.0,
2022-07-01,23.0,
2022-08-01,25.0,
2022-09-01,20.0,
2022-10-01,28.0,
2022-11-01,17.0,
2022-12-01,18.0,
2023-01-01,25.0,
2023-02-01,26.0,
2023-03-01,21.0,
2023-04-01,24.0,
2023-05-01,19.0,
2023-06-01,29.0,
2023-07-01,20.0,
2023-08-01,18.0,
2023-09-01,25.0,
2023-10-01,29.0,
2023-11-01,18.0,
2023-12-01,21.0,
2024-01-01,19.0,
2024-02-01,21.0,
2024-03-01,29.0,
2024-04-01,14.0,
2024-05-01,21.0,
2024-06-01,22.0,
2024-07-01,22.0,
2024-08-01,14.0,
2024-09-01,15.0,
2024-10-01,17.0,
2024-11-01,16.0,
2024-12-01,19.0,
2025-01-01,,21.006162464985994
2025-02-01,,21.01260041206565
2025-03-01,,21.019038359145313
2025-04-01,,21.02547630622497
2025-05-01,,21.031914253304627
2025-06-01,,21.038352200384285
2025-07-01,,21.044790147463946
2025-08-01,,21.051228094543603
2025-09-01,,21.05766604162326
2025-10-01,,21.064103988702918
2025-11-01,,21.07054193578258
2025-12-01,,21.076979882862236
2026-01-01,,21.083417829941894
2026-02-01,,21.08985577702155
2026-03-01,,21.096293724101212
2026-04-01,,21.10273167118087
2026-05-01,,21.109169618260527
2026-06-01,,21.115607565340184
2026-07-01,,21.122045512419845
2026-08-01,,21.128483459499503
2026-09-01,,21.13492140657916
2026-10-01,,21.14135935365882
2026-11-01,,21.14779730073848
2026-12-01,,21.154235247818136
2027-01-01,,21.160673194897793
2027-02-01,,21.167111141977454
2027-03-01,,21.17354908905711
2027-04-01,,21.17998703613677
2027-05-01,,21.186424983216426
2027-06-01,,21.192862930296087
2027-07-01,,21.199300877375745
2027-08-01,,21.205738824455402
2027-09-01,,21.21217677153506
2027-10-01,,21.21861471861472
2027-11-01,,21.225052665694378
2027-12-01,,21.231490612774035
2028-01-01,,21.237928559853692
2028-02-01,,21.244366506933353
2028-03-01,,21.25080445401301
2028-04-01,,21.257242401092668
2028-05-01,,21.263680348172326
2028-06-01,,21.270118295251986
2028-07-01,,21.276556242331644
2028-08-01,,21.2829941894113
2028-09-01,,21.28943213649096
2028-10-01,,21.29587008357062
2028-11-01,,21.302308030650277
2028-12-01,,21.308745977729934
