Year-Month,Total_Ventas,Predicted
2015-04-01,22.0,
2015-05-01,20.0,
2015-06-01,23.0,
2015-07-01,15.0,
2015-08-01,21.0,
2015-09-01,13.0,
2015-10-01,23.0,
2015-11-01,21.0,
2015-12-01,15.0,
2016-01-01,16.0,
2016-02-01,15.0,
2016-03-01,20.0,
2016-04-01,22.0,
2016-05-01,17.0,
2016-06-01,11.0,
2016-07-01,17.0,
2016-08-01,15.0,
2016-09-01,17.0,
2016-10-01,25.0,
2016-11-01,26.0,
2016-12-01,18.0,
2017-01-01,21.0,
2017-02-01,19.0,
2017-03-01,28.0,
2017-04-01,17.0,
2017-05-01,28.0,
2017-06-01,26.0,
2017-07-01,24.0,
2017-08-01,26.0,
2017-09-01,9.0,
2017-10-01,25.0,
2017-11-01,18.0,
2017-12-01,23.0,
2018-01-01,31.0,
2018-02-01,18.0,
2018-03-01,28.0,
2018-04-01,25.0,
2018-05-01,16.0,
2018-06-01,16.0,
2018-07-01,28.0,
2018-08-01,16.0,
2018-09-01,15.0,
2018-10-01,17.0,
2018-11-01,21.0,
2018-12-01,23.0,
2019-01-01,24.0,
2019-02-01,16.0,
2019-03-01,20.0,
2019-04-01,18.0,
2019-05-01,25.0,
2019-06-01,19.0,
2019-07-01,27.0,
2019-08-01,20.0,
2019-09-01,21.0,
2019-10-01,17.0,
2019-11-01,21.0,
2019-12-01,16.0,
2020-01-01,19.0,
2020-02-01,25.0,
2020-03-01,25.0,
2020-04-01,16.0,
2020-05-01,17.0,
2020-06-01,18.0,
2020-07-01,21.0,
2020-08-01,21.0,
2020-09-01,26.0,
2020-10-01,14.0,
2020-11-01,21.0,
2020-12-01,19.0,
2021-01-01,21.0,
2021-02-01,22.0,
2021-03-01,20.0,
2021-04-01,24.0,
2021-05-01,26.0,
2021-06-01,25.0,
2021-07-01,24.0,
2021-08-01,26.0,
2021-09-01,13.0,
2021-10-01,18.0,
2021-11-01,19.0,
2021-12-01,24.0,
2022-01-01,22.0,
2022-02-01,25.0,
2022-03-01,17.0,
2022-04-01,21.0,
2022-05-01,9.0,
2022-06-01,19.0,
2022-07-01,23.0,
2022-08-01,25.0,
2022-09-01,20.0,
2022-10-01,28.0,
2022-11-01,17.0,
2022-12-01,18.0,
2023-01-01,25.0,
2023-02-01,26.0,
2023-03-01,21.0,
2023-04-01,24.0,
2023-05-01,19.0,
2023-06-01,29.0,
2023-07-01,20.0,
2023-08-01,18.0,
2023-09-01,25.0,
2023-10-01,29.0,
2023-11-01,18.0,
2023-12-01,21.0,
2024-01-01,19.0,
2024-02-01,21.0,
2024-03-01,29.0,
2024-04-01,14.0,
2024-05-01,21.0,
2024-06-01,22.0,
2024-07-01,22.0,
2024-08-01,14.0,
2024-09-01,15.0,
2024-10-01,17.0,
2024-11-01,16.0,
2024-12-01,19.0,
2025-01-01,,20.028755
2025-02-01,,20.694532
2025-03-01,,21.132942
2025-04-01,,20.917076
2025-05-01,,19.510569
2025-06-01,,21.888826
2025-07-01,,20.746508
2025-08-01,,19.447008
2025-09-01,,21.946035
2025-10-01,,20.746508
2025-11-01,,19.673378
2025-12-01,,20.87358
2026-01-01,,21.238205
2026-02-01,,21.65519
2026-03-01,,19.47957
2026-04-01,,20.617968
2026-05-01,,21.046
2026-06-01,,20.539658
2026-07-01,,19.729422
2026-08-01,,21.719667
2026-09-01,,20.746508
2026-10-01,,19.673378
2026-11-01,,21.120363
2026-12-01,,20.499725
2027-01-01,,19.473166
2027-02-01,,21.796785
2027-03-01,,21.83517
2027-04-01,,18.790806
2027-05-01,,20.944727
2027-06-01,,20.781
2027-07-01,,21.252983
2027-08-01,,20.910574
2027-09-01,,19.955791
2027-10-01,,21.120363
2027-11-01,,20.746508
2027-12-01,,19.426596
2028-01-01,,21.723555
2028-02-01,,21.73125
2028-03-01,,19.197157
2028-04-01,,20.617968
2028-05-01,,21.046
2028-06-01,,20.539658
2028-07-01,,19.729422
2028-08-01,,21.719667
2028-09-01,,20.746508
2028-10-01,,19.673378
2028-11-01,,21.120363
2028-12-01,,20.499725
